pose_id,display_name,sanskrit_simplified_primary,sanskrit_latin_primary,category,subcategory,difficulty,pose_url,suggested_filename
Archer,Archer's,akarna dhanurasana,ākarṇa dhanurāsana,seated,neutral,intermediate,https://pocketyoga.com/pose/Archer,Archer_s_Akarna_Dhanurasana
Awkward,Awkward,utkatasana,utkaṭāsana,standing,balancing,beginner,https://pocketyoga.com/pose/Awkward,Awkward_Utkatasana
AwkwardAirplane,Awkward Airplane,,,arm_leg_support,neutral,beginner,https://pocketyoga.com/pose/AwkwardAirplane,Awkward_Airplane
BackRollMidPoint,Backwards Roll,chakrasana,cakrāsana,supine,forward_bend,expert,https://pocketyoga.com/pose/BackRollMidPoint,Backwards_Roll_Chakrasana
Banana,Banana,supta nitambasana,supta nitambāsana,supine,lateral_bend,beginner,https://pocketyoga.com/pose/Banana,Banana_Supta_Nitambasana
Bharadvaja,Sage Bharadvaja's Twist,bharadvajasana,bharadvājāsana,seated,twist,intermediate,https://pocketyoga.com/pose/Bharadvaja,Sage_Bharadvaja_s_Twist_Bharadvajasana
BirdOfParadiseRevolved,Revolved Bird of Paradise,parivritta svarga dvijasana,parivṛtta svarga dvijāsana,standing,balancing,expert,https://pocketyoga.com/pose/BirdOfParadiseRevolved,Revolved_Bird_of_Paradise_Parivritta_Svarga_Dvijasana
BirdOfParadiseRevolvedPreparation,Revolved Bird of Paradise (Preparation),,,standing,twist,expert,https://pocketyoga.com/pose/BirdOfParadiseRevolvedPreparation,Revolved_Bird_of_Paradise_Preparation
BlissfulBaby,Happy Baby,ananda balasana,ānanda bālāsana,supine,balancing,beginner,https://pocketyoga.com/pose/BlissfulBaby,Happy_Baby_Ananda_Balasana
BoatBind,Boat with Toe Hold,ubhaya padangushthasana,ubhaya pādāṅguṣṭhāsana,seated,balancing,intermediate,https://pocketyoga.com/pose/BoatBind,Boat_with_Toe_Hold_Ubhaya_Padangushthasana
BoatBindOutsideEdge,Boat with Thighs to Chest,urdhva mukha paschimottanasana,ūrdhva mukha paścimottānāsana,seated,balancing,intermediate,https://pocketyoga.com/pose/BoatBindOutsideEdge,Boat_with_Thighs_to_Chest_Urdhva_Mukha_Paschimottanasana
